MINN.HUB
Day Ahead, Real Time, NN Output, Profit/Loss

Day1
44.01, 26.62, 40.6038, 17.39
41.84, 25.3, 37.2853, 16.54
41.28, 26.64, 39.493, 14.64
40.99, 25.71, 36.9213, 15.28
41.23, 29.88, 37.8054, 11.35
39.17, 27.37, 32.4096, 11.8
39.93, 29.44, 32.3818, 10.49
38.35, 30.17, 29.9706, 8.18
40.9, 40.01, 45.6817, -0.89
41.57, 29.05, 37.0796, 12.52
34.26, 31.81, 31.9213, 2.45
33.05, 24.07, 28.1877, 8.98
32.17, 22.77, 28.0973, 9.4

Day8
29.28, 17.85, 26.3057, 11.43
27.54, 19.44, 25.0553, 8.1
27.71, 19.62, 24.5737, 8.09
28.51, 18.91, 27.5594, 9.6
32.48, 21.53, 25.7854, 10.95
34.11, 28.26, 28.9732, 5.85
38.79, 26.71, 45.617, -12.08
41.6, 31.49, 38.2073, 10.11
40.64, 28.67, 34.8359, 11.97
41.06, 29.85, 51.1044, -11.21
41.61, 33.59, 39.6395, 8.02
41.29, 34.48, 40.6044, 6.81
41.38, 53.53, 37.2848, -12.15
44.33, 37.99, 39.4935, 6.34
44.33, 67.56, 36.9215, -23.23
48.08, 64.88, 37.8053, -16.8
44.72, 95.67, 32.4093, -50.95
42.93, 41.15, 32.3814, 1.78
37.91, 45.57, 29.9704, -7.66
40.25, 58.63, 45.6817, 18.38
44.48, 98.96, 37.0799, -54.48
34.9, 37.19, 31.9214, -2.29
30.32, 69.73, 28.1881, -39.41
31.56, 38.11, 28.0977, -6.55

Day9
25.32, 78.15, 26.3052, 52.83
23.76, 26.89, 25.0551, 3.13
23.64, 25.99, 24.5737, 2.35
24.14, 26.72, 27.5599, 2.58
26.55, 28.95, 25.7851, -2.4
29.26, 31.47, 28.9735, -2.21
37.63, 28.95, 45.6174, -8.68
40.99, 35.08, 38.2073, 5.91
